link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,original_link_id,original_node_id,main_node_id,movement_str,TMC
97,21701,21600,,,78.71210764199365,5,nan,104.0,motorway,1,,"LINESTRING (-112.03755 33.45174,-112.03756 33.45103)",97,,,,
98,13901,21800,,,69.59074629881091,1,nan,120.0,motorway,1,,"LINESTRING (-112.03649 33.45248,-112.03668 33.45309)",98,,,,
99,21800,6501,,,380.5977388444678,1,nan,120.0,motorway,1,,"LINESTRING (-112.03668 33.45309,-112.03685 33.45383,-112.03694 33.45438,-112.03695 33.45457,-112.03696 33.45492,-112.03696 33.45515,-112.03696 33.45526,-112.03704 33.4565)",99,,,,
100,14200,4301,,,776.986193954449,1,nan,88.0,motorway,1,,"LINESTRING (-112.0367 33.45498,-112.03667 33.4554,-112.03668 33.45568,-112.03673 33.45792,-112.03668 33.45947,-112.03668 33.46005,-112.03673 33.4605,-112.03684 33.46095,-112.03726 33.46192)",100,,,,
101,12500,21401,,,433.757542990937,1,nan,104.0,motorway,1,,"LINESTRING (-112.03677 33.45501,-112.03681 33.45474,-112.03684 33.45452,-112.03689 33.45437,-112.03695 33.45416,-112.03701 33.454,-112.0371 33.45376,-112.03716 33.4536,-112.03724 33.45331,-112.03729 33.45311,-112.03734 33.45291,-112.03737 33.45267,-112.03739 33.45244,-112.03738 33.45176,-112.03739 33.45115)",101,,,,
102,22001,22700,,,83.84411149846648,1,nan,72.0,motorway,1,,"LINESTRING (-112.03474 33.46135,-112.03428 33.46143,-112.03385 33.46151)",102,,,,
103,21901,22001,,,481.9554222636715,1,nan,72.0,motorway,1,,"LINESTRING (-112.03882 33.4628,-112.03878 33.46258,-112.03867 33.46229,-112.03857 33.46213,-112.03841 33.4619,-112.03827 33.46174,-112.03808 33.46158,-112.03794 33.46149,-112.03777 33.4614,-112.03746 33.46126,-112.03715 33.46116,-112.03672 33.46109,-112.03642 33.46108,-112.03615 33.46109,-112.03593 33.46113,-112.03545 33.46122,-112.03474 33.46135)",103,,,,
104,9300,6602,,,327.01064118941383,2,nan,88.0,motorway,1,,"LINESTRING (-112.03813 33.4596,-112.03794 33.45905,-112.03785 33.45879,-112.0378 33.45865,-112.03775 33.45846,-112.0377 33.45824,-112.03764 33.45794,-112.03761 33.45774,-112.03757 33.45741,-112.03751 33.4567)",104,,,,
105,22101,9300,,,55.197237131747954,1,nan,120.0,motorway,1,,"LINESTRING (-112.03822 33.46009,-112.03813 33.4596)",105,,,,
106,9701,22101,,,159.72009227834675,1,nan,120.0,motorway,1,,"LINESTRING (-112.03801 33.46151,-112.03813 33.46121,-112.0382 33.461,-112.03823 33.46084,-112.03825 33.46052,-112.03825 33.46034,-112.03822 33.46009)",106,,,,
107,22201,7600,,,179.87572695390867,2,nan,88.0,motorway,1,,"LINESTRING (-112.03837 33.46169,-112.0384 33.46121,-112.03841 33.46089,-112.03839 33.46051,-112.03837 33.46033,-112.03831 33.46007)",107,,,,
108,22301,9701,,,69.86831126705191,1,nan,120.0,motorway,1,,"LINESTRING (-112.03761 33.46204,-112.03771 33.46192,-112.03783 33.46179,-112.03801 33.46151)",108,,,,
109,19200,22301,,,88.68783410171386,1,nan,120.0,motorway,1,,"LINESTRING (-112.03687 33.46254,-112.03717 33.46239,-112.03744 33.4622,-112.03761 33.46204)",109,,,,
